Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,31.420000,31.530001,31.209999,31.250000,31.250000,18828900
2022-01-04,31.440001,31.870001,31.309999,31.379999,31.379999,15468300
2022-01-05,31.709999,32.029999,30.790001,30.850000,30.850000,26211100
2022-01-06,30.170000,30.379999,29.740000,29.760000,29.760000,28579300
2022-01-07,29.959999,30.170000,29.620001,30.010000,30.010000,19982900
2022-01-10,29.870001,30.540001,29.650000,30.510000,30.510000,24142700
2022-01-11,30.620001,31.160000,30.389999,31.139999,31.139999,20294700
2022-01-12,31.270000,31.709999,31.070000,31.709999,31.709999,19838600
2022-01-13,31.559999,31.740000,31.230000,31.240000,31.240000,15356900
2022-01-14,31.299999,31.320000,30.730000,30.969999,30.969999,15586500
2022-01-18,30.889999,31.150000,30.480000,30.600000,30.600000,16739600
2022-01-19,31.020000,32.939999,30.940001,32.790001,32.790001,52590000
2022-01-20,33.110001,33.189999,32.330002,32.330002,32.330002,26417600
2022-01-21,32.580002,32.599998,31.480000,31.650000,31.650000,30274200
2022-01-24,31.580000,31.590000,30.430000,31.450001,31.450001,32161600
2022-01-25,31.110001,31.820000,30.840000,31.660000,31.660000,26669500
2022-01-26,31.379999,31.889999,30.379999,30.629999,30.629999,38945900
2022-01-27,29.870001,30.610001,29.639999,29.680000,29.680000,32087700
2022-01-28,29.330000,29.379999,28.870001,29.299999,29.299999,25046400
2022-01-31,29.559999,30.240000,29.510000,30.230000,30.230000,22555400
2022-02-01,30.549999,30.719999,30.030001,30.530001,30.530001,16090400
2022-02-02,30.610001,31.040001,30.250000,30.629999,30.629999,15417300
2022-02-03,30.450001,30.660000,29.940001,30.250000,30.250000,17862600
2022-02-04,30.059999,30.730000,29.969999,30.400000,30.400000,20375700
2022-02-07,30.639999,31.450001,30.420000,31.299999,31.299999,24160500
2022-02-08,31.250000,31.650000,31.150000,31.650000,31.650000,14835300
2022-02-09,31.760000,31.980000,31.530001,31.590000,31.590000,19078700
2022-02-10,31.420000,31.879999,30.549999,30.690001,30.690001,29800100
2022-02-11,30.770000,32.779999,30.730000,32.430000,32.430000,42381000
2022-02-14,32.540001,33.160000,32.520000,33.090000,33.090000,29274700
2022-02-15,32.220001,32.619999,31.809999,32.490002,32.490002,25748600
2022-02-16,32.680000,33.669998,32.669998,33.529999,33.529999,28483300
2022-02-17,34.029999,35.110001,33.779999,34.779999,34.779999,45115400
2022-02-18,34.830002,34.849998,34.209999,34.500000,34.500000,23469300
2022-02-22,34.720001,34.959999,33.900002,34.110001,34.110001,23123900
2022-02-23,34.060001,35.020000,34.009998,34.740002,34.740002,24488400
2022-02-24,36.049999,36.070000,33.430000,34.070000,34.070000,51288800
